Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Gagea_tenera,"Inflorescence cymose; tepals 6–7 mm long; radical leaves 0.4–0.6 mm broad, filiform","Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Pascher ,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
,,,Liliaceae,Gagea_bergii,Inflorescence umbel-like,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Litv.,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
,,,Liliaceae,Gagea_bulbifera,Inflorescence cymose,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Pall.,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
,,,Liliaceae,Gagea_chomutovae,Inflorescence cymose,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Pascher ,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
,,,Liliaceae,Gagea_vegeta,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Vved,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_dschungarica,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Regel,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_lutea,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Ker Gawl,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_reticulata,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Pall.) Schult. et Schult.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_uliginosa,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Siehe & Pascher,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_stipitata,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Merckl. ex Bunge,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_chlorantha,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Bieb.) Schult. et Schult.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_afghanica,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_aipetriensis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_altaica,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Schischk. & Sumnev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_ancestralis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_artemczukii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Krasnova,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_capusii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_circumplexa,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Vved.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_elegans,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Wall. ex D. Don,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_erubescens,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Besser,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_filiformis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Ledeb.) Kar. et Kir.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_graeca,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,L.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_granulosa,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Turcz.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_helenae,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Grossh,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_nakaiana,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Kitag.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_neopopovii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Golosk,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_paczoskii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Zapal.) Grossh.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_pauciflora,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Turcz. ex Ledeb.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_podolica,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Schult. et Schult,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_pomeranica,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Ruthe,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_rubicunda,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Meinsh. emend. Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_shmakoviana,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_serotina,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(L.) Ker Gawl.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_spathacea,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Hayne) Salisb.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_terraccianoana,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Pascher,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_tisoniana,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,"Peruzzi, Bartolucci, Frignani & Minutillo","Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_transversalis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Steven,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_pusilla,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(F.W. Schmidt) Sweet,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Alstroemeria,Bomarea_albimontana,"Inflorescence a dense, pendulous thyrse.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,D.N. Smith & R.E. Gereau,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_angulata,"Inflorescence in strong specimens a thyrse, hypopodium of primary flowers 0,1–0,5 cm, epipodium 2–4 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Benth,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_cordifolia,"Inflorescence laxiflorus, hypopodium of primary flowers 5 – 22 cm, epipodium 1 – 6 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_densiflora,"Inflorescence an umbel, pedicels 3–5 cm, pubescent",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_dissitifolia,"Both leaf surfaces glabrous Inflorescence an umbel, pedicels 4–5 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_glaucescens,"Inflorescence dense, hypopodium of primary flowers 0,1–0,2 cm, epipodium 0,8–1,2 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Kunth) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_goniocaulon,"Inflorescence dense, bracteose, hypopodium of primary flowers 0,2–0,5 cm, epipodium around 5 cm; bracts of lowermost primary flowers up to 10 x 3 cm, subsequent bracts conspicuous smaller, bracts of secondary flowers 0,3–0,5 x 0,2–0,4 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_involucrosa,"The inflorescence is dense compared to the size of the flowers, the hypopodium of the first flower is 0,3– 0,8 cm long, and the epipodium is 0,3–1 cm long",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Herb.) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_nervosa,"Inflorescence an erect umbel with 2–20 flowers, peduncles 1,5– 3 cm long, subtending leaves bracteose, up to 1,5 x 0,1–0,3 cm, often one bract frondose 2–5 x 0,3–0,8 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Herb.) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_correcta,"Inflorescence an umbel or a raceme up to 3 cm long, pedicels 2–5 cm, pubescent",The inflorescence is an umbel or a thyrse. ,,,no,no,raceme,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_torta,"Inflorescence dense. Hypopodium of primary flowers 0,3–0,5 cm, epipodium 1,4–2,3 cm. Inflorescence branches 2–3-flowered. Subtending bracts of primary flowers forming an involucrum",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,(Kunth) Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_brachysepala,"Inflorescence an erect thyrse, partial florescence with 1–2 flowers, hypopodium of primary flowers 1,5–3,5 cm long, epipodium 1,5–3 cm long.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Benth,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_brevis,The inflorescence is an erect umbel.,The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,(Herb.) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_cornuta,"Inflorescence laxiflorous, hypopodium of primary flowers 3 – 20 cm, epipodium 1 – 5 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_engleriana,"Inflorescence laxiflorus, hypopodium of primary flowers 1,8–2,2 cm, epipodium 1,5–2 cm. Bracts of primary flowers 3–5 x 0,5–0,8 cm, bracts of secondary flowers 2,5 – 3,5 x 0,5–0,7 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Kraenzl,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_tarmensis,"Inflorescence a thyrse, hypopodium of primary flowers 1–5 cm, epipodium 1–3 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Kraenzl,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_ovata,"Inflorescence a laxiflorus thyrse or an umbel, erect or horizontally orientated, hypopodium of primary flowers 1,5–4 cm, epipodium 1,5–2 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Cav.) Mirb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_bracteata,Inflorescence laxiflorus and erect.,The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_coccinea,"Inflorescence an erect thyrse often reduced to an umbel, hypopodium of the primary flowers 1–6 cm, epipodium 1,5–5 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_denticulata,"Inflorescence an umbel, pedicels 2–3 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_distichifolia,Inflorescence an erect umbel with 3–8 flowers.,The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_formosissima,"Inflorescence an umbel, pedicels 2–4 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Ruiz & Pav.) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_latifolia,"Inflorescence a thyrse, erect or horizontally orientated, hypopodium 0,2–0,5 cm epipodium 2–5 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Ruiz & Pavón) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_purpurea,"Inflorescence an umbel, pedicels 1–3 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_rosea,"Inflorescence an umbel, erect or horizontally orientated, pedicel 3–7 cm, around 4–70 flowers.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,(Ruiz & Pavón) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_setacea,"Inflorescence an umbel or a raceme up to 3 cm long, pedicels 2–5 cm, pubescent",The inflorescence is an umbel or a thyrse. ,,,no,no,raceme,1,JR,(Ruiz & Pavón) Herb.,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_dulcis,"Leaves linear or linear-lanceolate, 2–10 x 0,2–1,5 cm wide towards the inflorescence the leaves can become shorter and wider, for example a plant which has leaves of around 5 cm length and 0,2 cm width in the middle of its stem may bear leaves of 3 cm length and 0,6 cm width next to the inflorescence.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Beauverd,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_andimarcana,"Inflorescence a pendulous thyrse, dense or laxiflorous.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,(Herb.) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_aurantiaca,"Inflorescence in strong specimens a thyrse, hypopodium of primary flowers 0,1–0,5 cm, epipodium 2–6 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
