Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Fritillaria_reuteri,inflorescence raceme,,,,no,no,raceme,1,JR,Bornm.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_straussii,inflorescence raceme,,,,no,no,raceme,1,JR,Bommuller,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_crassifolia,inflorescence raceme,,,,no,no,raceme,1,JR,Boissier ,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_poluninii,inflorescence raceme,,,,no,no,raceme,1,JR,(Rix) Bakhshi Khaniki & K. Persoon,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_assyriaca,inflorescence raceme,,,,no,no,raceme,1,JR,Baker,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_uva-vulpis,inflorescence raceme,,,,no,no,raceme,1,JR,Rix ,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_chlororhabdota,inflorescence raceme,,,,no,no,raceme,1,JR,Bakhshi Khaniki,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_caucasica,inflorescence raceme,,,,no,no,raceme,1,JR,JF Adam,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_chlorantha,inflorescence raceme,,,,no,no,raceme,1,JR,Hausskn. & Bornm,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_avromanica,inflorescence raceme,,,,no,no,raceme,1,JR,M. Adway & M. Teksen,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_zagrica,inflorescence raceme,,,,no,no,raceme,1,JR,Stapf.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_atrolineata,inflorescence raceme,,,,no,no,raceme,1,JR, Bakhshi Khaniki,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Erythronium_howellii,"inflorescence with 1-several flowers in a raceme, branched well above ground level",,,,no,no,raceme,1,JR,S. Wats,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_propullans,inflorescence solitary,,,,no,no,single,1,JR,Gray,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_revolutum,inflorescence solitary,,,,no,no,single,1,JR,Smith,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_hendersonii,inflorescence solitary,,,,no,no,single,1,JR,S. Wats,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
